label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
continuous,2.0,2,16,200,0.6148027919698507,0.00175,0.0529,0.6066,55.98698,64,48,32,0
continuous,2.0,2,17,200,0.6955802920274436,0.00289,0.05161,0.68964,48.58698,65,48,32,0
continuous,2.0,2,18,200,0.6571789169684052,0.00894,0.06378,0.65436,52.49067,63,48,32,0
continuous,2.0,2,19,200,0.4277582080103457,0.00438,0.05762,0.4256,84.24249,63,32,32,0
continuous,2.0,2,20,200,0.25413587503135204,0.00354,0.01881,0.25187,133.01182,65,64,32,0
continuous,2.0,2,21,200,0.3875381671823561,0.01668,0.05696,0.38339,94.96862,63,32,32,0
continuous,2.0,2,22,200,0.7813235418871045,0.00134,0.07516,0.77368,44.3793,65,48,32,0
continuous,2.0,2,23,200,0.789730624994263,0.00949,0.07591,0.77675,44.23285,66,32,32,0
continuous,2.0,2,24,200,0.6856947077903897,0.00852,0.06328,0.68148,50.14604,64,48,32,0
continuous,2.0,2,25,200,0.3392864998895675,0.00091,0.04822,0.33312,108.80858,65,48,32,0
continuous,2.0,2,26,200,0.4315571659244597,0.00151,0.04477,0.42469,81.59728,62,32,32,0
continuous,2.0,2,27,200,0.3667953328695148,0.00811,0.06102,0.36251,102.81976,62,48,32,0
continuous,2.0,2,28,200,0.36800941708497703,0.00072,0.04478,0.3631,97.38553,64,48,32,0
continuous,2.0,2,29,200,0.8716040418948978,0.00211,0.06131,0.8648,38.58171,65,48,32,0
continuous,2.0,2,30,200,0.872535957954824,0.03845,0.09162,0.86478,40.09525,63,48,32,0
continuous,2.0,2,31,200,0.8142585409805179,0.02361,0.07754,0.80925,42.36644,63,32,32,0
continuous,2.0,2,32,200,0.4370876250322908,0.00078,0.05117,0.42862,82.13078,65,48,32,0
continuous,2.0,2,33,200,0.3875075411051512,0.00294,0.0515,0.38427,93.15675,63,32,32,0
continuous,2.0,2,34,200,0.5259495419450104,0.001,0.05439,0.52297,66.15689,65,48,32,0
continuous,2.0,2,35,200,0.4880944159813225,0.00681,0.07962,0.48475,76.51958,66,32,32,0
continuous,2.0,2,36,200,0.3898612919729203,0.00029,0.04088,0.38691,89.58667,64,48,32,0
continuous,3.0,0,0,200,0.49224049993790686,0.00031,0.03708,0.48898,68.59902,63,48,32,0
continuous,3.0,0,1,200,1.1443905411288142,0.00375,0.06985,1.13854,29.00751,64,48,32,0
continuous,3.0,0,2,200,1.1599036250263453,0.04704,0.10063,1.1421,29.76544,61,32,32,0
continuous,3.0,0,3,200,1.0749306250363588,0.01362,0.07465,1.07278,31.05807,61,48,32,0
continuous,3.0,0,4,200,0.8294979999773204,0.06066,0.13216,0.81577,45.34752,63,48,32,0
continuous,3.0,0,5,200,0.7787988330237567,0.00271,0.0742,0.75803,45.33299,64,48,32,0
continuous,3.0,0,6,200,0.33884220803156495,0.00163,0.05696,0.33063,113.27339,62,48,32,0
continuous,3.0,0,7,200,0.3649343750439584,0.00096,0.03989,0.35986,96.88509,62,32,32,0
continuous,3.0,0,8,200,0.8410040838643909,0.00091,0.0469,0.83664,39.25352,64,48,32,0
continuous,3.0,0,9,200,0.8872729160357267,0.00466,0.05216,0.87392,37.72384,62,32,32,0
continuous,3.0,0,10,200,0.8913531249854714,0.04157,0.09425,0.88771,39.06946,65,48,32,0
continuous,3.0,0,11,200,0.5051221658941358,0.01007,0.08485,0.50087,74.51499,66,32,32,0
continuous,3.0,0,12,200,0.3274896249640733,0.00081,0.04296,0.32232,110.96798,64,48,32,0
continuous,3.0,0,13,200,0.3413032500538975,0.00065,0.04902,0.33209,109.51128,65,48,32,0
continuous,3.0,0,14,200,0.3394615000579506,0.00067,0.04413,0.33178,107.77258,62,32,32,0
continuous,3.0,0,15,200,0.5397161250002682,0.00128,0.04447,0.53168,63.62667,62,32,32,0
continuous,3.0,0,16,200,0.5745932918507606,0.00858,0.06101,0.56773,61.17768,64,48,32,0
continuous,3.0,0,17,200,0.5708777089603245,0.04154,0.10445,0.56713,67.00144,65,48,32,0
